Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,2013,2013,2013,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2432547814,,,,2432547814,,1736775154,,,0
S1,2014,2014,2014,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,418402681,,,,,,317708845,,,6
S1,2014,2014,2014,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2425479290,,,,2425479290,,1619632669,,,0
S1,2015,2015,2015,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,831210368,,,,,,355737481,,,6
S1,2015,2015,2015,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2122011036,,,,2122011036,,670929750,,,0
S1,2016,2016,2016,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,808791738,,,,808791738,,278747010,,,6
S1,2016,2016,2016,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2696693700,,,,2696693700,,748543642,,,0
S1,2017,2017,2017,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1069490804,,,,1069490804,,455187605,,,0
S1,2017,2017,2017,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1529295400,,,,1529295400,,575226736,,,0
S1,2018,2018,2018,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,338582151,,,,338582151,,181108939,,,6
S1,2018,2018,2018,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3103752000,,,,3103752000,,1474856038,,,0
S1,2019,2019,2019,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2615804000,,,,2615804000,,1119911767,,,0
S1,2020,2020,2020,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1,,,,1,,39,,,0
S1,2020,2020,2020,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2377238700,,,,2377238700,,570359836,,,0
S1,1962,1962,1962,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,51632368,,,,51632368,,3768293,,,0
S1,1962,1962,1962,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,99616552,,,,99616552,,3969199,,,0
S1,1963,1963,1963,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,31718396,,,,31718396,,1683897,,,0
S1,1963,1963,1963,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,18631534,,,,18631534,,811097,,,0
S1,1964,1964,1964,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,85917856,,,,85917856,,4344098,,,0
S1,1964,1964,1964,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1084250,,,,1084250,,54600,,,0
S1,1965,1965,1965,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,211557280,,,,211557280,,12225409,,,0
S1,1965,1965,1965,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,537812,,,,537812,,52488,,,0
S1,1966,1966,1966,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,208055152,,,,208055152,,11708026,,,0
S1,1966,1966,1966,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,516937,,,,516937,,48468,,,0
S1,1967,1967,1967,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,355378176,,,,355378176,,20369520,,,0
S1,1967,1967,1967,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1712038,,,,1712038,,117757,,,0
S1,1968,1968,1968,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,319993856,,,,319993856,,18262394,,,0
S1,1968,1968,1968,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,994530,,,,994530,,68848,,,0
S1,1969,1969,1969,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,165951184,,,,165951184,,8623195,,,0
S1,1969,1969,1969,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,100398,,,,100398,,10199,,,0
S1,1970,1970,1970,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,50131808,,,,50131808,,2360299,,,0
S1,1970,1970,1970,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,97,,,,97,,99,,,0
S1,1971,1971,1971,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,488261664,,,,488261664,,21891502,,,0
S1,1971,1971,1971,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,3944000,,,,3944000,,245565,,,0
S1,1972,1972,1972,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,811617344,,,,811617344,,19325450,,,0
S1,1972,1972,1972,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,728062,,,,728062,,47884,,,0
S1,1973,1973,1973,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1186331136,,,,1186331136,,25237526,,,0
S1,1974,1974,1974,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1965134080,,,,1965134080,,93102352,,,0
S1,1974,1974,1974,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,672250,,,,672250,,140798,,,0
S1,1975,1975,1975,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1748400640,,,,1748400640,,120106512,,,0
S1,1975,1975,1975,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,3036347,,,,3036347,,1166521,,,0
S1,1976,1976,1976,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1485255424,,,,1485255424,,94368752,,,0
S1,1976,1976,1976,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,8817016,,,,8817016,,1514413,,,0
S1,1977,1977,1977,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,2192015360,,,,2192015360,,157493888,,,0
S1,1977,1977,1977,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,9097144,,,,9097144,,1853100,,,0
S1,1978,1978,1978,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,2085491328,,,,2085491328,,164487040,,,0
S1,1978,1978,1978,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,5426377,,,,5426377,,1078143,,,0
S1,1979,1979,1979,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1906702720,,,,1906702720,,228667904,,,0
S1,1979,1979,1979,4,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,589,,,,589,,1823,,,0
S1,1980,1980,1980,4,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,1858251776,,,,1858251776,,335804960,,,0
