"anio","empresa","sector","unidad","variable","valor"
2014,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",8985
2014,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1264
2014,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",496
2014,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",737
2014,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",107
2013,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",7105
2013,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1213
2013,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",458
2013,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",641
2013,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",107
2012,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",6067
2012,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1196
2012,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",389
2012,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",732
2012,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",96
2011,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4590
2011,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1163
2011,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",271
2011,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4606
2011,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",96
2010,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4295
2010,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1094
2010,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",875
2010,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4420
2010,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",105
2009,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4450
2009,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1365
2009,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",894
2009,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4308
2009,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",111
2008,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",5767
2008,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1368
2008,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",1124
2008,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4175
2008,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",122
2007,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4258
2007,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1317
2007,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",1009
2007,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",3897
2007,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",128
2006,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4907
2006,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",1123
2006,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",821
2006,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",3850
2006,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",137
2005,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",7103
2005,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",947
2005,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",702
2005,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",3932
2005,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",163
2004,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",6276
2004,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",186
2004,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",670
2004,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4027
2004,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",121
2003,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",6229
2003,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",181
2003,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",652
2003,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",4140
2003,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",137
2002,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",7055
2002,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",177
2002,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",762
2002,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",682
2002,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",153
2001,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",5757
2001,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",190
2001,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",629
2001,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",733
2001,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",184
2000,"petrobras_ar","upstream","Millones de pesos corrientes","prop_planta_equipo",4478
2000,"petrobras_ar","downstream","Millones de pesos corrientes","prop_planta_equipo",179
2000,"petrobras_ar","petroquimica","Millones de pesos corrientes","prop_planta_equipo",679
2000,"petrobras_ar","gas_y_energia","Millones de pesos corrientes","prop_planta_equipo",768
2000,"petrobras_ar","adm_central","Millones de pesos corrientes","prop_planta_equipo",168
