Año;Mes;Producto;Datos;Total
;;GAS OIL;Suma de M3;16506
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2268715
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;10501
;;;Suma de ValorFOB;3751682
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;3272
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;540327
;;PETROLEO;Suma de M3;69067
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8054453
;;SOLVENTES ALIFATICOS;Suma de M3;14
;;;Suma de Toneladas;10
;;;Suma de ValorFOB;11507
;4;ADITIVOS LUBRICANTES;Suma de M3;136
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;349639
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;39
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;83668
;;AEROKEROSENE;Suma de M3;12333
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1729993
;;AERONAFTAS;Suma de M3;0
;;;Suma de Toneladas;2259
;;;Suma de ValorFOB;560100
;;AGUARRAS;Suma de M3;878
;;;Suma de Toneladas;688
;;;Suma de ValorFOB;339082
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;2422
;;;Suma de ValorFOB;249828
;;GAS OIL;Suma de M3;19869
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2750634
;;KEROSENE;Suma de M3;6013
;;;Suma de Toneladas;4857
;;;Suma de ValorFOB;943800
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;5999
;;;Suma de ValorFOB;1400879
;;NAFTA VIRGEN;Suma de M3;14879
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1831010
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;26645
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4355145
;;PETROLEO;Suma de M3;77750
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;9774832
;;SOLVENTES HEXANO;Suma de M3;1212
;;;Suma de Toneladas;820
;;;Suma de ValorFOB;276435
;5;ACEITE PARA TRANSFORMADOR;Suma de M3;828
;;;Suma de Toneladas;734
;;;Suma de ValorFOB;333970
;;ADITIVOS LUBRICANTES;Suma de M3;77
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;129529
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;8666
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2842200
;;AERONAFTAS;Suma de M3;0
;;;Suma de Toneladas;9029
;;;Suma de ValorFOB;3147812
;;AGUARRAS;Suma de M3;188
;;;Suma de Toneladas;148
;;;Suma de ValorFOB;66517
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;16
;;;Suma de ValorFOB;21372
;;BASES LUBRICANTES;Suma de M3;11182
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3073200
;;GAS OIL;Suma de M3;5843
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;889909
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;9298
;;;Suma de ValorFOB;2947280
;;NAFTA VIRGEN;Suma de M3;12703
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1879917
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;45067
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8481362
;6;ADITIVOS LUBRICANTES;Suma de M3;87
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;302972
;;AERONAFTAS;Suma de M3;0
;;;Suma de Toneladas;4178
;;;Suma de ValorFOB;1281992
;;BASES LUBRICANTES;Suma de M3;1783
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;786961
;;GAS OIL;Suma de M3;41700
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5989847
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;15172
;;;Suma de ValorFOB;5079540
