refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2015,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",61371896.12,106501200.0,106501200.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",996704920.17,3513890400.0,3513890400.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",899155163.0,4967920000.0,4967920000.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",11345059.93,38416100.0,38416100.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",287789364.29,1012922000.0,1012922000.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",80944321.46,332534700.0,332534700.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",49122624.25,165921600.0,165921600.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",100131522.08,329689100.0,329689100.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",126543115.01,416758500.0,416758500.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",3224921.43,11377200.0,11377200.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",804409205.0,4696418000.0,4696418000.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",94745958.0,271502000.0,271502000.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",23850458.46,102499300.0,102499300.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",63461785.61,224893100.0,224893100.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",14577764.25,61369800.0,61369800.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",13996397.4,58135200.0,58135200.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",199931347.96,681484400.0,681484400.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",11484694.5,38091600.0,38091600.0,H4,natural_gas_hs
2016,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",10301543.54,39797800.0,39797800.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",973710207.74,3258061900.0,3258061900.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1257723192.72,5170341000.0,5170341000.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",17033126.18,62310200.0,62310200.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1180412264.3,4966321000.0,4966321000.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",10879316.18,37735900.0,37735900.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",77310928.42,204020000.0,204020000.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",147588989.26,517382100.0,517382100.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",15196332.46,41842300.0,41842300.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",108538390.1,366851600.0,366851600.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",11312224.95,38653800.0,38653800.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",412719497.36,1378225900.0,1378225900.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",155740221.64,504752800.0,504752800.0,H4,natural_gas_hs
2017,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",94702109.61,310307300.0,310307300.0,H4,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1037059985.42,2539686300.0,2539686300.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1408735897.0,4645119800.0,4645119800.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",153732089.8,401824800.0,401824800.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",233357610.19,515789100.0,515789100.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",20679352.16,58611900.0,58611900.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",133682222.76,358794800.0,358794800.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",25804998.26,42002700.0,42002700.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1350985411.0,4523431000.0,4523431000.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",21815687.83,60143000.0,60143000.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",57750486.0,121688800.0,121688800.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",17443119.67,38865600.0,38865600.0,H5,natural_gas_hs
2018,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",430544904.75,1063654400.0,1063654400.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",431599983.36,1253450320.0,1253450320.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1266024437.0,3851812000.0,3851812000.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",153981129.61,439173920.0,439173920.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",257348141.5,772775900.0,772775900.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",20270712.25,41500500.0,41500500.0,H5,natural_gas_hs
2019,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1266024437.0,3851812000.0,3851812000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",226516103.46,1320081200.0,1320081200.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",968823787.63,4150992000.0,4150992000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",114413033.0,354972000.0,354972000.0,H5,natural_gas_hs
