"anio","unidad","precio_externo_gas","us_wellhead_gas_price","us_import_gas_price","us_pipeline_import_price","us_lng_import_price","us_export_gas_price","us_export_gas_pipeline_price","us_export_lng_price","eia_henry_hub_spot","bp_lng_japan_cif","bp_lng_jkm","bp_gas_german_import_price","bp_gas_nbp","bp_gas_netherlands_ttf","bp_gas_henry_hub","bp_gas_canada","bp_oil_mix_mean_oecd","fmi_lng_asia","fmi_natural_gas_eu","fmi_henry_hub","precio_expo_bolivia_arg_ypfb","precio_expo_bolivia_bzl_ypfb","precio_impo_gas_arg_bolivia_comtrade","precio_expo_gas_bolivia_arg_comtrade","precio_expo_gas_comtrade","precio_expo_gas_regalias","precio_expo_gas_indec","precio_expo_gas_mecon","precio_impo_gas_bolivia_idee","precio_exportacion_gas_ar"
1971,"USD/MMBTU",NA,0.175097276264591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29993711536583,NA,NA,NA,0.0182926565461363,1.29993711536583
1972,"USD/MMBTU",0.000154048598034278,0.184824902723735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255440293301353,0.000154048598034278,1.37314006886208,NA,NA,NA,0.00982710817723879,1.37314006886208
1973,"USD/MMBTU",1.04390934844193,0.214007782101167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279244627515913,1.04390934844193,NA,NA,NA,NA,0.0100516581882188,NA
1974,"USD/MMBTU",0.296537730779385,0.291828793774319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404534547482722,0.296537730779385,4.37278835081969,NA,NA,NA,0.446714486111106,4.37278835081969
1975,"USD/MMBTU",0.437426421260456,0.428015564202335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652964123675026,0.437426421260456,8.02110020398739,NA,NA,NA,0.443888696702955,8.02110020398739
1976,"USD/MMBTU",0.548455479626816,0.56420233463035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973589936790737,0.548455479626816,3.58604291543077,NA,NA,NA,0.808847452992601,3.58604291543077
1977,"USD/MMBTU",0.639761255104575,0.768482490272373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12096011358513,0.639761255104575,4.25291369158878,NA,NA,NA,0.86111128929507,4.25291369158878
1978,"USD/MMBTU",0.77929825976813,0.885214007782101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41747363362797,0.77929825976813,4.14819521996805,NA,NA,NA,1.18236586362939,4.14819521996805
1979,"USD/MMBTU",0.954556297412397,1.14785992217899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59146754291058,0.954556297412397,64.6195837762184,NA,NA,NA,1.61874336398826,64.6195837762184
1980,"USD/MMBTU",1.69987199494333,1.54669260700389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01986311610983,1.69987199494333,NA,NA,NA,NA,2.83580177162882,NA
1981,"USD/MMBTU",2.33227399521686,1.92607003891051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98887069682031,2.33227399521686,NA,NA,NA,NA,4.1964008191491,NA
1982,"USD/MMBTU",2.60815981141237,2.39299610894942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.513028262923,2.60815981141237,NA,NA,NA,NA,4.61433650277984,NA
1983,"USD/MMBTU",2.66715574010803,2.51945525291829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.70462572665099,2.66715574010803,NA,NA,NA,NA,4.5524313269939,NA
1984,"USD/MMBTU",2.66956731333328,2.5875486381323,NA,NA,NA,NA,NA,NA,NA,5.1,NA,3.99563467784131,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.7709260648902,2.66956731333328,4.24842062288943,NA,NA,NA,5.18562270439108,4.24842062288943
1985,"USD/MMBTU",2.6391622478193,2.44163424124514,3.12256809338521,3.08365758754864,4.47470817120623,4.64007782101167,3.81322957198444,4.67898832684825,NA,5.23465346534653,NA,4.25358680256017,NA,NA,NA,NA,4.75172413793103,NA,NA,NA,NA,NA,4.70000943998813,2.6391622478193,4.94068992834074,NA,NA,NA,4.84638391762127,4.94068992834074
1986,"USD/MMBTU",2.32984944422909,1.88715953307393,2.36381322957198,2.35408560311284,4.49416342412451,2.73346303501946,2.28599221789883,2.8307392996109,NA,4.1019801980198,NA,3.9286188092639,NA,NA,NA,NA,2.57413793103448,NA,NA,NA,NA,NA,4.2232458834134,2.32984944422909,3.68481383028433,NA,NA,NA,4.41985035037364,3.68481383028433
