anio,variable,codigo_variable,unidad,valor,fuente
1975.0,Q_crudo_expo,Q_crudo_expo,barriles,90446.18467876,SESCO/Comtrade
1979.0,Q_crudo_expo,Q_crudo_expo,barriles,1.20135371,SESCO/Comtrade
1985.0,Q_crudo_expo,Q_crudo_expo,barriles,2557822.1855568,SESCO/Comtrade
1986.0,Q_crudo_expo,Q_crudo_expo,barriles,828555.61461192,SESCO/Comtrade
1987.0,Q_crudo_expo,Q_crudo_expo,barriles,523314.55696856,SESCO/Comtrade
1988.0,Q_crudo_expo,Q_crudo_expo,barriles,1264149.1603008,SESCO/Comtrade
1989.0,Q_crudo_expo,Q_crudo_expo,barriles,1987128.1000496,SESCO/Comtrade
1990.0,Q_crudo_expo,Q_crudo_expo,barriles,6529986.54580544,SESCO/Comtrade
1991.0,Q_crudo_expo,Q_crudo_expo,barriles,5543827.82874338,SESCO/Comtrade
1992.0,Q_crudo_expo,Q_crudo_expo,barriles,16964341.7535642,SESCO/Comtrade
1993.0,Q_crudo_expo,Q_crudo_expo,barriles,28450838.2634701,SESCO/Comtrade
1994.0,Q_crudo_expo,Q_crudo_expo,barriles,66209162.2566298,SESCO/Comtrade
1995.0,Q_crudo_expo,Q_crudo_expo,barriles,88121303.2415846,SESCO/Comtrade
1996.0,Q_crudo_expo,Q_crudo_expo,barriles,103610629.199821,SESCO/Comtrade
1997.0,Q_crudo_expo,Q_crudo_expo,barriles,104005003.708477,SESCO/Comtrade
1998.0,Q_crudo_expo,Q_crudo_expo,barriles,107523445.730744,SESCO/Comtrade
2010.0,Q_crudo_expo,Q_crudo_expo,barriles,33429069.621789597,SESCO/Comtrade
2011.0,Q_crudo_expo,Q_crudo_expo,barriles,21725042.042173795,SESCO/Comtrade
2012.0,Q_crudo_expo,Q_crudo_expo,barriles,24058816.80833532,SESCO/Comtrade
2013.0,Q_crudo_expo,Q_crudo_expo,barriles,15931837.93771614,SESCO/Comtrade
2014.0,Q_crudo_expo,Q_crudo_expo,barriles,16825688.388588417,SESCO/Comtrade
2015.0,Q_crudo_expo,Q_crudo_expo,barriles,14726080.94671626,SESCO/Comtrade
1994.0,Q_crudo_impo,Q_crudo_impo,barriles,3112715.0933999997,SESCO/MECON
1995.0,Q_crudo_impo,Q_crudo_impo,barriles,3646549.2887999997,SESCO/MECON
1996.0,Q_crudo_impo,Q_crudo_impo,barriles,5336926.749,SESCO/MECON
1997.0,Q_crudo_impo,Q_crudo_impo,barriles,8000965.2491999995,SESCO/MECON
1998.0,Q_crudo_impo,Q_crudo_impo,barriles,8421432.089399999,SESCO/MECON
1999.0,Q_crudo_impo,Q_crudo_impo,barriles,2261824.6596,SESCO/MECON
2000.0,Q_crudo_impo,Q_crudo_impo,barriles,3757111.3932,SESCO/MECON
2001.0,Q_crudo_impo,Q_crudo_impo,barriles,10101876.3703704,SESCO/MECON
2002.0,Q_crudo_impo,Q_crudo_impo,barriles,3833079.5976,SESCO/MECON
2003.0,Q_crudo_impo,Q_crudo_impo,barriles,1792460.9142,SESCO/MECON
2004.0,Q_crudo_impo,Q_crudo_impo,barriles,3712922.529096,SESCO/MECON
2005.0,Q_crudo_impo,Q_crudo_impo,barriles,1556315.4050399999,SESCO/MECON
2006.0,Q_crudo_impo,Q_crudo_impo,barriles,563377.3859999999,SESCO/MECON
2007.0,Q_crudo_impo,Q_crudo_impo,barriles,285789.64259999996,SESCO/MECON
2008.0,Q_crudo_impo,Q_crudo_impo,barriles,30631.325999999997,SESCO/MECON
2009.0,Q_crudo_impo,Q_crudo_impo,barriles,0.0,SESCO/MECON
2010.0,Q_crudo_impo,Q_crudo_impo,barriles,0.0,SESCO/MECON
2011.0,Q_crudo_impo,Q_crudo_impo,barriles,0.0,SESCO/MECON
2012.0,Q_crudo_impo,Q_crudo_impo,barriles,1559027.6234081998,SESCO/MECON
2013.0,Q_crudo_impo,Q_crudo_impo,barriles,2649516.358368,SESCO/MECON
2014.0,Q_crudo_impo,Q_crudo_impo,barriles,3446879.776494,SESCO/MECON
2015.0,Q_crudo_impo,Q_crudo_impo,barriles,6203516.838089999,SESCO/MECON
2016.0,Q_crudo_impo,Q_crudo_impo,barriles,5789601.3780924,SESCO/MECON
2017.0,Q_crudo_impo,Q_crudo_impo,barriles,7896010.872598199,SESCO/MECON
2018.0,Q_crudo_impo,Q_crudo_impo,barriles,2796355.0666722,SESCO/MECON
2019.0,Q_crudo_impo,Q_crudo_impo,barriles,0.0,SESCO/MECON
2020.0,Q_crudo_impo,Q_crudo_impo,barriles,0.0,SESCO/MECON
1911.0,Q_crudo_prod,Q_crudo_prod,barriles,12579.599999999999,SecEnergia/SESCO/Anuario
1912.0,Q_crudo_prod,Q_crudo_prod,barriles,44028.6,SecEnergia/SESCO/Anuario
1913.0,Q_crudo_prod,Q_crudo_prod,barriles,132085.8,SecEnergia/SESCO/Anuario
1914.0,Q_crudo_prod,Q_crudo_prod,barriles,276751.2,SecEnergia/SESCO/Anuario
1915.0,Q_crudo_prod,Q_crudo_prod,barriles,515763.6,SecEnergia/SESCO/Anuario
1916.0,Q_crudo_prod,Q_crudo_prod,barriles,867992.3999999999,SecEnergia/SESCO/Anuario
1917.0,Q_crudo_prod,Q_crudo_prod,barriles,1207641.5999999999,SecEnergia/SESCO/Anuario
1918.0,Q_crudo_prod,Q_crudo_prod,barriles,1352307.0,SecEnergia/SESCO/Anuario
1919.0,Q_crudo_prod,Q_crudo_prod,barriles,1327147.7999999998,SecEnergia/SESCO/Anuario
1920.0,Q_crudo_prod,Q_crudo_prod,barriles,1647927.5999999999,SecEnergia/SESCO/Anuario
1921.0,Q_crudo_prod,Q_crudo_prod,barriles,2056764.5999999999,SecEnergia/SESCO/Anuario
1922.0,Q_crudo_prod,Q_crudo_prod,barriles,2861859.0,SecEnergia/SESCO/Anuario
1923.0,Q_crudo_prod,Q_crudo_prod,barriles,3333594.0,SecEnergia/SESCO/Anuario
1924.0,Q_crudo_prod,Q_crudo_prod,barriles,4660741.8,SecEnergia/SESCO/Anuario
1925.0,Q_crudo_prod,Q_crudo_prod,barriles,5987889.6,SecEnergia/SESCO/Anuario
1926.0,Q_crudo_prod,Q_crudo_prod,barriles,7849670.399999999,SecEnergia/SESCO/Anuario
1927.0,Q_crudo_prod,Q_crudo_prod,barriles,8629605.6,SecEnergia/SESCO/Anuario
1928.0,Q_crudo_prod,Q_crudo_prod,barriles,9069891.6,SecEnergia/SESCO/Anuario
1929.0,Q_crudo_prod,Q_crudo_prod,barriles,9390671.399999999,SecEnergia/SESCO/Anuario
1930.0,Q_crudo_prod,Q_crudo_prod,barriles,9000703.799999999,SecEnergia/SESCO/Anuario
1931.0,Q_crudo_prod,Q_crudo_prod,barriles,11705317.799999999,SecEnergia/SESCO/Anuario
1932.0,Q_crudo_prod,Q_crudo_prod,barriles,13139392.2,SecEnergia/SESCO/Anuario
1933.0,Q_crudo_prod,Q_crudo_prod,barriles,13692894.6,SecEnergia/SESCO/Anuario
1934.0,Q_crudo_prod,Q_crudo_prod,barriles,14026254.0,SecEnergia/SESCO/Anuario
1935.0,Q_crudo_prod,Q_crudo_prod,barriles,14296715.399999999,SecEnergia/SESCO/Anuario
1936.0,Q_crudo_prod,Q_crudo_prod,barriles,15460328.399999999,SecEnergia/SESCO/Anuario
1937.0,Q_crudo_prod,Q_crudo_prod,barriles,16353479.999999998,SecEnergia/SESCO/Anuario
1938.0,Q_crudo_prod,Q_crudo_prod,barriles,17076807.0,SecEnergia/SESCO/Anuario
1939.0,Q_crudo_prod,Q_crudo_prod,barriles,18611518.2,SecEnergia/SESCO/Anuario
1940.0,Q_crudo_prod,Q_crudo_prod,barriles,20605384.799999997,SecEnergia/SESCO/Anuario
1941.0,Q_crudo_prod,Q_crudo_prod,barriles,22014300.0,SecEnergia/SESCO/Anuario
1942.0,Q_crudo_prod,Q_crudo_prod,barriles,23706256.2,SecEnergia/SESCO/Anuario
1943.0,Q_crudo_prod,Q_crudo_prod,barriles,24832130.4,SecEnergia/SESCO/Anuario
1944.0,Q_crudo_prod,Q_crudo_prod,barriles,24228309.599999998,SecEnergia/SESCO/Anuario
1945.0,Q_crudo_prod,Q_crudo_prod,barriles,22882292.4,SecEnergia/SESCO/Anuario
1946.0,Q_crudo_prod,Q_crudo_prod,barriles,20800368.599999998,SecEnergia/SESCO/Anuario
1947.0,Q_crudo_prod,Q_crudo_prod,barriles,21844475.4,SecEnergia/SESCO/Anuario
1948.0,Q_crudo_prod,Q_crudo_prod,barriles,23221941.599999998,SecEnergia/SESCO/Anuario
1949.0,Q_crudo_prod,Q_crudo_prod,barriles,22586671.799999997,SecEnergia/SESCO/Anuario
1950.0,Q_crudo_prod,Q_crudo_prod,barriles,23460954.0,SecEnergia/SESCO/Anuario
1951.0,Q_crudo_prod,Q_crudo_prod,barriles,24464806.08,SecEnergia/SESCO/Anuario
1952.0,Q_crudo_prod,Q_crudo_prod,barriles,24819550.799999997,SecEnergia/SESCO/Anuario
1953.0,Q_crudo_prod,Q_crudo_prod,barriles,28501599.72,SecEnergia/SESCO/Anuario
1954.0,Q_crudo_prod,Q_crudo_prod,barriles,29572123.68,SecEnergia/SESCO/Anuario
1955.0,Q_crudo_prod,Q_crudo_prod,barriles,30504272.04,SecEnergia/SESCO/Anuario
1956.0,Q_crudo_prod,Q_crudo_prod,barriles,31011858.9,SecEnergia/SESCO/Anuario
1957.0,Q_crudo_prod,Q_crudo_prod,barriles,33951711.419999994,SecEnergia/SESCO/Anuario
1958.0,Q_crudo_prod,Q_crudo_prod,barriles,35656247.22,SecEnergia/SESCO/Anuario
1959.0,Q_crudo_prod,Q_crudo_prod,barriles,44578328.519999996,SecEnergia/SESCO/Anuario
1960.0,Q_crudo_prod,Q_crudo_prod,barriles,63859811.05679999,SecEnergia/SESCO/Anuario
1961.0,Q_crudo_prod,Q_crudo_prod,barriles,84461610.6708,SecEnergia/SESCO/Anuario
1962.0,Q_crudo_prod,Q_crudo_prod,barriles,98205911.8062,SecEnergia/SESCO/Anuario
1963.0,Q_crudo_prod,Q_crudo_prod,barriles,97140620.95979999,SecEnergia/SESCO/Anuario
1964.0,Q_crudo_prod,Q_crudo_prod,barriles,100275727.7412,SecEnergia/SESCO/Anuario
1965.0,Q_crudo_prod,Q_crudo_prod,barriles,98276326.11719999,SecEnergia/SESCO/Anuario
1966.0,Q_crudo_prod,Q_crudo_prod,barriles,104759675.84279999,SecEnergia/SESCO/Anuario
1967.0,Q_crudo_prod,Q_crudo_prod,barriles,114673312.66379999,SecEnergia/SESCO/Anuario
1968.0,Q_crudo_prod,Q_crudo_prod,barriles,125488170.89819999,SecEnergia/SESCO/Anuario
1969.0,Q_crudo_prod,Q_crudo_prod,barriles,130081536.3606,SecEnergia/SESCO/Anuario
1970.0,Q_crudo_prod,Q_crudo_prod,barriles,143397621.62219998,SecEnergia/SESCO/Anuario
1971.0,Q_crudo_prod,Q_crudo_prod,barriles,154510553.4786,SecEnergia/SESCO/Anuario
1972.0,Q_crudo_prod,Q_crudo_prod,barriles,158461780.6794,SecEnergia/SESCO/Anuario
1973.0,Q_crudo_prod,Q_crudo_prod,barriles,153728574.0936,SecEnergia/SESCO/Anuario
1974.0,Q_crudo_prod,Q_crudo_prod,barriles,151095236.1072,SecEnergia/SESCO/Anuario
1975.0,Q_crudo_prod,Q_crudo_prod,barriles,144465535.3152,SecEnergia/SESCO/Anuario
1976.0,Q_crudo_prod,Q_crudo_prod,barriles,145592912.7774,SecEnergia/SESCO/Anuario
1977.0,Q_crudo_prod,Q_crudo_prod,barriles,157542721.39319998,SecEnergia/SESCO/Anuario
1978.0,Q_crudo_prod,Q_crudo_prod,barriles,165137944.22399998,SecEnergia/SESCO/Anuario
1979.0,Q_crudo_prod,Q_crudo_prod,barriles,172553838.567,SecEnergia/SESCO/Anuario
