"","fecha","empresa","sector","moneda","gcia_ant","KTA","tg_ant","tg_desp","activo","activo_no_corr","costos","ctas_cobrar_corr","ctas_cobrar_nocorr","disponibilidades","equity","gcia_desp","gcia_op_discont","gcia_operativa","impuesto_gcia","inventarios","long_term_debt","obras_en_curso","ON_nopesos_corr","ON_nopesos_nocorr","ON_pesos_corr","ON_pesos_nocorr","pasivo","pasivo total","ppye","prestamos_corr","prestamos_financieros_pesos_corr","prestamos_financieros_pesos_nocorr","prestamos_nocorr","regalias_otros","solvencia_ratio","sueldos_y_cargas","terrenos","ventas","rotacion","ppye_neta"
"48",2002-12-31,"tecpetrol","produccion","MM_pesos",105.631,469.255092590246,0.225103577282297,0.211505429705938,0,1038.848,213.111,0,0,0,0,100.624,0,0,-6.381,19.588,0,20.69,0,0,0,0,0,0,472.907,0,0,0,0,24.63,0,17.452,4.154,357.51,10.879671227282,448.063
"49",2002-12-31,"TGN","transporte","MM_pesos",-198.496,2957.747,-0.0671105405567143,-0.0671105405567143,0,3031.063,250.721,0,0,0,0,-198.496,0,0,0,0,0,18.627,0,0,0,0,0,0,2979.55,0,0,0,0,0,0,28.836,3.176,478.666,Inf,2957.747
"50",2002-12-31,"TGS","transporte","MM_pesos",-633.434,4893.63,-0.129440517570801,-0.129440517570801,0,5053.737,432.521,0,0,0,0,-633.434,0,0,0,0,0,24.917,0,0,0,0,0,0,4924.148,0,0,0,0,0,0,40.714,5.601,906.58,Inf,4893.63
"51",2002-12-31,"YPF","integrada","MM_pesos",3759,16995.0820294836,0.221181633220644,0.196762804333555,0,21201,11057,1697,98,0,0,3344,0,0,-415,626,0,1304,0,0,975,2387,0,9268,19025,1529,93,337,2728,1591,1.859,549,1383,19599,17.6629392971246,16338
"52",2003-12-31,"camuzzi_pamp","distribución","MM_pesos",36.576306,1001.79873,0.0365106332286926,0.01441554632436,1199.268023,1107.438474,271.931344,0,0,23.857703,0,14.441476,0,0,-22.13483,0,0,15.073654,0,0,0,0,0,0,1027.228525,0,0,0,0,0,0,26.317654,10.356141,345.6605,Inf,1001.79873
"53",2003-12-31,"chevron","integrada","MM_usd",12676,47186,0.268639003094138,0.156444708176154,81470,0,108601,0,0,0,36295,7382,0,0,-5294,2648,10651,0,0,0,0,0,45175,0,44538,0,0,0,0,0,0.803431101272828,0,0,121277,41.0124622356495,44538
"54",2003-12-31,"metrogas","distribución","MM_pesos",35.661,1791.054,0.0199106224602943,0.0199106224602943,0,2007.439,506.732,0,0,0,0,-10.246,0,0,0,0,0,18.79,0,0,0,0,0,0,1827.345,0,0,0,0,0,0,37.957,17.501,651.485,Inf,1791.054
"55",2003-12-31,"PAE","produccion","MM_pesos",597,4451.41025641026,0.13411480084099,0.0887359235045073,0,3912,1131,0,0,0,0,394,0,0,-202,86,0,418,0,0,0,0,0,0,4798,0,0,0,0,0,0,58,19,2200,13.1511627906977,4361
"56",2003-12-31,"petrobras_ar","integrada","MM_pesos",557,11906.5460720614,0.0467809889307021,0.0452692155002665,16144,13144,3386,0,0,152,0,388,0,1233,-18,319,0,0,0,0,0,0,0,0,11559,0,0,0,0,332,0,303,0,5494,10.6144200626959,11559
"57",2003-12-31,"petrobras_glob","integrada","MM_usd",8773,25408.9269941415,0.345272352587844,0.240466667538097,0,35712,15533,0,0,0,0,6559,0,0,-2663,2947,0,8430,0,0,0,0,0,0,30805,0,0,0,0,0,0,1175,136,42690,5.270783847981,22239
"58",2003-12-31,"tecpetrol","produccion","MM_pesos",363.097,610.105802649279,0.595137758767928,0.580838599569446,0,1292.741,412.565,0,0,0,0,355.734,0,0,-8.724,28.352,0,24.634,0,0,0,0,0,0,611.029,0,0,0,0,76.928,0,33,6.909,750.971,14.5515307562077,579.486
"59",2003-12-31,"TGN","transporte","MM_pesos",-325.724,2396.747,-0.135902537898243,-0.135902537898243,0,2573.392,255.215,0,0,0,0,-237.531,0,0,0,0,0,41.041,0,0,0,0,0,0,2441.014,0,0,0,0,0,0,27.953,3.226,418.157,Inf,2396.747
"60",2003-12-31,"TGS","transporte","MM_pesos",164.642,4353.511,0.037818211553847,0.037818211553847,0,4642.704,427.251,0,0,0,0,286.174,0,0,0,0,0,49.315,0,0,0,0,0,0,4408.468,0,0,0,0,0,0,39.495,5.642,892.795,Inf,4353.511
"61",2003-12-31,"YPF","integrada","MM_pesos",7921,18819.7734699285,0.420887106460485,0.245911567819609,0,22600,11323,1895,454,0,0,4628,0,0,-3293,974,0,1351,0,0,574,1075,0,10908,20530,1049,348,237,2096,1470,2.066,381,1366,21172,11.6252566735113,17813
"62",2004-12-31,"camuzzi_pamp","distribución","MM_pesos",23.688277,972.666784,0.0243539487414017,0.00555979096742754,1156.690141,1070.386868,298.06689,0,0,5.072544,0,5.407824,0,0,-18.280453,0,0,29.582475,0,0,0,0,0,0,1012.6054,0,0,0,0,0,0,33.024622,10.356141,387.491542,Inf,972.666784
"63",2004-12-31,"chevron","integrada","MM_usd",20551,47441,0.433190700027402,0.274741257562024,93208,0,134749,0,0,0,45230,13034,0,0,-7517,2983,10217,0,0,0,0,0,47978,0,44458,0,0,0,0,0,0.942723748384676,0,0,155300,45.1723097552799,44458
"64",2004-12-31,"metrogas","distribución","MM_pesos",-122.977,1720.423,-0.071480676554545,-0.071480676554545,0,1946.486,639.143,0,0,0,0,-122.977,0,0,0,0,0,22.115,0,0,0,0,0,0,1760.039,0,0,0,0,0,0,42.963,17.501,814.072,Inf,1720.423
"65",2004-12-31,"PAE","produccion","MM_pesos",1088,5351.30514385353,0.203314886883187,0.126884934001548,0,4198,1147,0,0,0,0,679,0,0,-409,113,0,610,0,0,0,0,0,0,5870,0,0,0,0,0,0,64,28,2585,10.1504424778761,5232
"66",2004-12-31,"petrobras_ar","integrada","MM_pesos",526,11805.057719715,0.0445571730768886,0.061329645071611,18287,13365,4210,0,0,128,0,697,0,1680,198,487,0,0,0,0,0,0,0,0,11280,0,0,0,0,350,0,329,0,6974,8.64476386036961,11280
"67",2004-12-31,"petrobras_glob","integrada","MM_usd",8935,31254.5406269092,0.285878461842029,0.214496833596974,0,43656,21279,0,0,0,0,6190,0,0,-2231,4904,0,10813,0,0,0,0,0,0,37020,0,0,0,0,0,0,1495,201,51954,4.33911092985318,26006
"68",2004-12-31,"tecpetrol","produccion","MM_pesos",188.646,616.507317932933,0.305991501662145,0.184653120390672,0,1242.44,382.068,0,0,0,0,112.136,NA,0,-74.806,22.196,0,27.306,0,0,0,0,0,0,625.247,0,0,0,0,63.494,0,33.124,5.554,660.079,17.2133717786989,592.387
"69",2004-12-31,"TGN","transporte","MM_pesos",-58.536,2309.182,-0.0253492362230435,-0.0253492362230435,0,2531.627,230.948,0,0,0,0,-32.389,0,0,0,0,0,42.608,0,0,0,0,0,0,2355.065,0,0,0,0,0,0,30.439,3.275,422.029,Inf,2309.182
"70",2004-12-31,"TGS","transporte","MM_pesos",158.494,4239.333,0.0373865417036123,0.0373865417036123,0,4534.812,466.34,0,0,0,0,147.928,0,0,0,0,0,73.19,0,0,0,0,0,0,4318.15,0,0,0,0,0,0,42.253,5.627,994.084,Inf,4239.333
"71",2004-12-31,"YPF","integrada","MM_pesos",7751,18957.2902735562,0.408866451278217,0.249719233692566,0,22588,9212,2025,854,0,0,4734,0,0,-3017,1134,0,1566,0,0,29,1078,0,8946,20617,246,143,154,1684,1632,2.469,571,1298,19931,8.12345679012346,17753
"72",2005-12-31,"camuzzi_pamp","distribución","MM_pesos",30.308283,950.425766,0.0318891638718473,0.0089490713575625,1176.581826,1037.060457,343.071762,0,0,25.59307,0,8.505428,0,0,-21.802855,0,0,41.048415,0,0,0,0,0,0,1001.816508,0,0,0,0,0,0,39.903993,10.342327,439.270598,Inf,950.425766
"73",2005-12-31,"chevron","integrada","MM_usd",25197,67811,0.371576882806624,0.207916119803572,125833,0,173003,0,0,0,62680,14099,0,0,-11098,4121,11807,0,0,0,0,0,63157,0,63690,0,0,0,0,0,0.992447393004734,0,0,198200,41.9808298956564,63690
"74",2005-12-31,"metrogas","distribución","MM_pesos",29.278,1629.794,0.0179642335166285,0.0174322644456907,0,1928.322,699.354,0,0,0,0,28.411,0,0,-0.867,0,0,56.809,0,0,0,0,0,0,1704.104,0,0,0,0,0,0,52.211,17.501,891.922,Inf,1629.794
"75",2005-12-31,"PAE","produccion","MM_pesos",1681,6673.14700755375,0.25190513532778,0.16558903898703,0,4879,1721,0,0,0,0,1104,0,0,-576,123,0,805,0,0,0,0,0,0,7383,0,0,0,0,0,0,100,35,3763,13.9918699186992,6543
"76",2005-12-31,"petrobras_ar","integrada","MM_pesos",1236,13685.1737035988,0.0903167198875212,0.0624763717668533,18885,14895,7058,0,0,104,0,819,0,2308,-381,782,0,0,0,0,0,0,0,0,12847,0,0,0,0,507,0,507,0,10655,9.02557544757033,12847
"77",2005-12-31,"petrobras_glob","integrada","MM_usd",14592,35438.3065240713,0.411757824547526,0.286441452644047,0,52847,29828,0,0,0,0,10344,0,0,-4441,5305,0,15865,0,0,0,0,0,0,45920,0,0,0,0,0,0,1711,226,74065,5.62262016965127,29829
"78",2005-12-31,"tecpetrol","produccion","MM_pesos",132.054,671.871268061085,0.196546580092771,0.112814766166052,0,1164.83,359.433,0,0,0,0,77.807,NA,0,-56.257,22.304,0,56.996,0,0,0,0,0,0,708.088,0,0,0,0,106.213,0,43.612,4.231,681.302,16.115181133429,646.861
"79",2005-12-31,"TGN","transporte","MM_pesos",-71.565,2289.162,-0.0312625318784778,-0.0312625318784778,0,2525.56,253.561,0,0,0,0,-46.104,0,0,0,0,0,23.936,0,0,0,0,0,0,2316.373,0,0,0,0,0,0,43.237,3.275,450.351,Inf,2289.162
