indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
2002-06-01,4336.2367168380015,2947.45,1090.713,137.932,52.352,828.123,618.712,54.106,165.512,643.124,398.949,172.077,183.88,272.38,8.554,5.177,250.994,554.46,457.855
2002-07-01,4612.249874585998,3177.648,1141.089,134.969,49.89,870.046,745.008,57.127,179.519,756.488,424.874,189.937,171.293,293.075,8.731,5.965,284.945,563.064,479.276
2002-08-01,4926.866302419998,2826.916,923.609,111.484,44.357,879.18,641.578,46.762,179.946,628.202,361.255,159.607,153.563,285.013,8.47,4.639,289.666,502.853,433.649
2002-09-01,3923.678857695001,2426.925,695.913,93.301,35.866,875.647,508.844,36.894,180.46,479.227,319.232,133.706,122.226,249.758,7.619,3.842,254.437,476.17,380.708
2002-10-01,3526.7213096499986,1933.237,416.406,69.386,25.178,788.295,420.097,24.386,189.489,364.171,254.022,108.259,112.703,250.299,6.764,3.39,206.151,350.893,276.585
2002-11-01,3269.232472200001,1783.524,312.901,62.642,21.741,768.999,410.014,20.106,187.121,348.591,234.234,108.01,102.076,233.503,6.765,3.333,190.93,351.004,205.078
2002-12-01,3393.059055800002,1867.333,246.555,54.628,17.237,824.847,508.535,17.723,197.808,377.069,222.705,122.079,102.595,235.456,6.06,2.962,205.385,374.658,218.364
2003-01-01,3539.9529464,1918.685,216.471,53.295,17.112,802.015,616.557,20.017,193.218,376.271,200.942,135.899,100.535,229.951,5.196,2.877,216.594,386.898,263.522
2003-02-01,3430.24619572,1930.948,208.068,52.872,16.771,780.404,673.429,20.678,178.726,451.892,204.896,131.903,123.169,209.934,6.613,2.82,196.567,372.774,230.38
2003-03-01,3835.8827001100008,2175.703,274.824,61.292,20.685,899.95,695.352,21.759,201.841,458.424,238.609,147.556,145.439,240.371,8.611,3.195,236.198,404.537,292.763
2003-04-01,3880.6942175699987,2319.117,441.421,73.146,25.737,920.152,618.941,28.569,211.151,447.012,267.85,156.813,149.083,263.642,8.923,3.763,222.292,440.9,358.839
2003-05-01,4503.114784280002,2858.86,748.082,100.677,35.72,970.176,747.557,42.354,214.294,653.662,353.111,185.586,162.023,286.953,10.547,4.884,233.021,535.261,433.812
2003-06-01,4678.3099382,3002.138,953.568,115.217,45.777,864.247,753.754,51.779,217.796,716.813,401.988,177.215,176.742,283.975,10.264,5.184,225.704,525.37,478.883
2003-07-01,4853.253484699997,3137.996,1138.239,129.482,67.268,850.343,662.135,61.755,228.774,727.962,451.477,193.079,195.505,296.77,12.512,6.201,242.956,559.663,451.871
2003-08-01,4946.697774494152,3144.08,1095.78,130.143,50.83,872.517,701.08,57.686,236.044,767.317,436.309,186.969,198.415,290.249,12.486,6.113,234.68,558.255,453.287
