AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
;12;249.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;271.40
2005;1;279.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;294.61
;2;286.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;302.85
;3;333.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;340.84
;4;326.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;333.23
;5;306.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;313.42
;6;341.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;354.43
;7;361.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;371.10
;8;402.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;408.77
;9;395.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;412.55
;10;368.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;391.60
;11;347.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;366.82
;12;357.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;373.68
2006;1;396.19;329.11;325.18;364.56;0.00;0.00;247.36;0.00;0.00;0.00;333.82;411.94
;2;378.71;334.21;332.45;385.66;0.00;0.00;398.15;0.00;311.89;0.00;342.29;387.46
;3;390.34;344.37;339.59;379.96;0.00;0.00;398.15;0.00;0.00;0.00;350.27;395.33
;4;441.92;367.72;351.10;376.41;0.00;0.00;0.00;0.00;0.00;0.00;370.36;439.50
;5;438.90;386.34;382.21;414.08;0.00;0.00;0.00;0.00;0.00;0.00;388.19;445.98
;6;431.23;401.71;415.98;428.91;0.00;0.00;0.00;0.00;0.00;0.00;401.94;445.98
;7;463.37;416.58;413.61;428.62;0.00;0.00;0.00;0.00;0.00;0.00;417.51;468.07
;8;460.60;404.97;403.85;449.04;0.00;0.00;0.00;0.00;0.00;0.00;408.50;459.45
;9;389.72;398.30;399.31;427.32;0.00;0.00;0.00;0.00;430.29;0.00;400.24;401.12
;10;363.61;368.93;367.97;369.62;0.00;0.00;0.00;0.00;0.00;0.00;371.65;370.15
;11;369.59;321.86;325.26;353.78;0.00;0.00;0.00;0.00;0.00;0.00;326.11;371.48
;12;392.92;316.54;316.52;351.29;0.00;0.00;0.00;0.00;0.00;0.00;320.16;389.91
2007;1;337.64;330.55;329.76;350.93;0.00;0.00;0.00;0.00;0.00;0.00;331.38;340.53
;2;362.04;334.69;333.48;312.53;0.00;0.00;0.00;0.00;0.00;0.00;335.79;372.36
;3;390.28;299.55;300.11;342.36;0.00;0.00;0.00;0.00;0.00;0.00;300.93;381.35
;4;424.50;334.26;334.26;345.06;0.00;0.00;0.00;0.00;0.00;0.00;335.07;401.60
;5;422.74;336.16;336.16;356.44;0.00;0.00;0.00;0.00;0.00;0.00;337.26;399.02
;6;446.89;364.82;364.82;359.33;0.00;0.00;0.00;0.00;0.00;0.00;364.57;424.18
;7;483.87;403.47;403.47;380.88;0.00;0.00;0.00;0.00;0.00;0.00;402.30;465.82
;8;445.07;423.59;424.08;424.32;0.00;0.00;0.00;0.00;0.00;0.00;423.60;455.13
;9;485.38;447.28;447.06;436.97;0.00;0.00;0.00;0.00;0.00;0.00;447.14;502.62
;10;517.90;462.66;462.66;467.26;0.00;0.00;0.00;0.00;0.00;0.00;462.68;538.78
;11;581.24;506.59;507.52;510.66;0.00;0.00;0.00;0.00;0.00;0.00;506.61;595.20
;12;571.93;493.05;493.05;576.86;0.00;0.00;0.00;0.00;0.00;0.00;493.63;576.40
2008;1;579.79;511.08;510.78;564.61;0.00;0.00;0.00;0.00;0.00;0.00;511.46;584.51
;2;597.47;553.72;553.10;584.60;0.00;0.00;0.00;0.00;0.00;0.00;553.82;599.73
;3;651.87;605.71;605.89;617.08;0.00;0.00;0.00;0.00;0.00;0.00;605.36;663.07
;4;686.03;682.67;682.67;622.25;0.00;0.00;0.00;0.00;0.00;0.00;675.45;707.35
;5;772.39;0.00;0.00;624.10;0.00;0.00;0.00;0.00;0.00;0.00;628.41;789.12
;6;832.27;0.00;0.00;629.53;0.00;0.00;0.00;0.00;0.00;0.00;675.18;842.96
;7;834.78;712.12;712.12;818.96;0.00;0.00;0.00;0.00;0.00;0.00;726.94;839.56
;8;712.26;622.59;622.59;863.60;0.00;0.00;0.00;0.00;0.00;0.00;646.37;734.02
;9;611.56;525.85;525.85;746.80;0.00;0.00;0.00;0.00;0.00;0.00;559.66;652.63
;10;450.22;357.79;355.44;420.38;0.00;0.00;0.00;0.00;0.00;0.00;380.27;482.55
;11;329.90;264.44;264.44;369.11;0.00;0.00;0.00;0.00;0.00;0.00;274.50;361.29
;12;251.28;194.02;194.02;201.48;0.00;0.00;0.00;0.00;0.00;0.00;195.47;264.42
2009;1;273.23;187.48;184.82;190.11;0.00;0.00;0.00;0.00;0.00;0.00;185.61;263.67
;2;272.47;211.35;208.20;189.84;0.00;0.00;250.74;0.00;0.00;0.00;211.93;246.94
;3;292.73;306.43;277.69;217.18;0.00;0.00;275.52;0.00;0.00;0.00;277.80;304.24
;4;315.62;280.23;293.92;264.12;0.00;0.00;298.97;0.00;0.00;0.00;291.05;313.36
;5;360.41;317.42;365.85;264.81;0.00;0.00;351.04;0.00;0.00;0.00;345.23;364.24
;6;431.54;378.91;411.44;407.23;0.00;0.00;275.52;0.00;0.00;0.00;400.97;433.05
;7;405.31;419.13;384.71;398.34;0.00;0.00;310.57;0.00;0.00;0.00;391.70;410.22
