AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1995;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1996;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1997;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1998;1;116,296.67;233,140.39;255,970.09;1,345,689.46;1,938,629.86;92,264.80;3,981,991.28
;2;108,483.74;224,741.09;221,543.38;1,213,646.19;1,772,293.32;81,102.75;3,621,810.47
;3;122,448.01;273,685.05;251,739.42;1,320,056.91;1,940,968.86;90,714.36;3,999,612.60
;4;114,820.69;265,024.48;241,758.58;1,274,900.26;1,853,524.97;90,033.55;3,840,062.52
;5;124,610.56;304,702.00;251,056.13;1,322,861.09;1,948,024.28;96,194.90;4,047,448.95
;6;122,853.51;303,461.74;242,461.48;1,251,176.85;1,888,397.41;92,972.43;3,901,323.42
;7;119,936.13;292,976.69;253,106.47;1,264,590.91;1,952,198.40;101,604.20;3,984,412.79
;8;149,273.88;300,946.24;250,100.73;1,274,443.76;1,932,330.06;101,745.85;4,008,840.52
;9;149,914.81;291,007.10;245,552.18;1,248,635.54;1,914,702.08;98,537.47;3,948,349.19
;10;140,290.28;291,540.73;223,128.66;1,279,342.43;1,945,924.52;100,019.24;3,980,245.86
;11;135,621.09;274,063.56;239,050.86;1,208,448.90;1,908,994.68;95,806.66;3,861,985.75
;12;129,945.54;269,120.95;240,070.23;1,268,330.06;1,961,467.80;95,742.10;3,964,676.68
1999;1;150,584.00;265,936.00;233,436.00;1,192,494.00;1,914,786.00;94,688.00;3,851,924.00
;2;169,614.50;234,241.50;212,326.50;1,085,608.50;1,717,404.50;82,602.50;3,501,798.00
;3;170,074.00;255,515.00;231,049.00;1,160,340.00;1,929,919.00;89,280.00;3,836,177.00
;4;148,923.00;249,308.50;222,591.50;1,105,683.50;1,858,830.00;90,697.50;3,676,034.00
;5;133,187.00;256,861.00;228,846.00;1,133,172.00;1,924,896.00;94,238.00;3,771,200.00
;6;139,303.00;248,279.00;221,572.00;1,081,044.00;1,869,736.50;96,840.50;3,656,775.00
;7;136,353.00;246,027.00;226,861.00;1,119,859.00;1,890,558.00;100,117.00;3,719,775.00
;8;140,489.00;230,949.00;225,695.00;1,074,310.00;1,878,696.00;106,583.00;3,656,722.00
;9;132,913.00;226,852.00;218,718.00;1,078,134.00;1,808,760.00;101,729.00;3,567,106.00
;10;133,361.94;243,401.23;217,311.37;1,116,602.04;1,878,075.17;85,592.78;3,674,344.53
;11;124,532.31;217,227.59;222,334.07;1,086,989.89;1,816,225.10;98,895.41;3,566,204.37
;12;124,566.49;222,362.99;223,488.50;1,132,381.81;1,871,541.97;97,932.62;3,672,274.38
2000;1;119,802.87;220,198.01;219,649.02;1,123,994.37;1,830,373.75;100,312.67;3,614,330.68
;2;111,475.59;193,104.95;201,989.60;1,056,095.49;1,793,987.93;92,159.08;3,448,812.64
