Año;Mes;Producto;Datos;Total
;;;Suma de ValorFOB;381355.125
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;77047
;;;Suma de ValorFOB;5154363
;;GAS OIL;Suma de M3;71465
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6509531.5
;;GLP A GRANEL;Suma de M3;91778
;;;Suma de Toneladas;49289.99097
;;;Suma de ValorFOB;9179416.625
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;2
;;;Suma de ValorFOB;2391
;;NAFTA COMUN CON PLOMO;Suma de M3;3240
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;388265
;;PETROLEO;Suma de M3;1114406.801
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;95900739.17
;;SOLVENTES ALIFATICOS;Suma de M3;698
;;;Suma de Toneladas;488
;;;Suma de ValorFOB;121507
;;SOLVENTES HEXANO;Suma de M3;184
;;;Suma de Toneladas;125
;;;Suma de ValorFOB;40350
1995;1;AEROKEROSENE;Suma de M3;1676
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;243292
;;AERONAFTAS;Suma de M3;95
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;38015
;;AGUARRAS;Suma de M3;817
;;;Suma de Toneladas;625
;;;Suma de ValorFOB;148336
;;ASFALTOS;Suma de M3;10115
;;;Suma de Toneladas;10115
;;;Suma de ValorFOB;647400
;;BASES LUBRICANTES;Suma de M3;13150
;;;Suma de Toneladas;10778
;;;Suma de ValorFOB;3338627
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;3123
;;;Suma de ValorFOB;86077
;;DILUYENTES;Suma de M3;1962
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;186047
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;11522
;;;Suma de ValorFOB;1006215
;;GAS OIL;Suma de M3;39559
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5501717
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;47359
;;;Suma de ValorFOB;7996281
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;24
;;;Suma de ValorFOB;22063
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;804
;;;Suma de ValorFOB;454621
;;NAFTA COMUN CON PLOMO;Suma de M3;126231
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;10571098
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;5506
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;302800
;;PETROLEO;Suma de M3;511442
;;;Suma de Toneladas;49920
;;;Suma de ValorFOB;47802338
;;PROPELENTE;Suma de M3;0
;;;Suma de Toneladas;20
;;;Suma de ValorFOB;8241
;;SOLVENTES ALIFATICOS;Suma de M3;130
;;;Suma de Toneladas;92
;;;Suma de ValorFOB;25709
;;SOLVENTES HEXANO;Suma de M3;557
;;;Suma de Toneladas;376
;;;Suma de ValorFOB;122904
;2;AEROKEROSENE;Suma de M3;2793
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;390332
;;AGUARRAS;Suma de M3;990
;;;Suma de Toneladas;756
;;;Suma de ValorFOB;172408
;;ASFALTOS;Suma de M3;28012
;;;Suma de Toneladas;28094
;;;Suma de ValorFOB;2309378
;;BASES LUBRICANTES;Suma de M3;699
;;;Suma de Toneladas;338
;;;Suma de ValorFOB;269109
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;3082
;;;Suma de ValorFOB;104270
;;DILUYENTES;Suma de M3;4964
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;461508
;;FUEL OIL, AZUFRE <1%;Suma de M3;64
;;;Suma de Toneladas;60
;;;Suma de ValorFOB;6000
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;45380
;;;Suma de ValorFOB;3846604
;;GAS OIL;Suma de M3;47431
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6417514
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;51004
;;;Suma de ValorFOB;9064076
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;34
;;;Suma de ValorFOB;27732
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;375
;;;Suma de ValorFOB;278374
;;NAFTA COMUN CON PLOMO;Suma de M3;79870
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7877455
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;34021
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2084766
;;PETROLEO;Suma de M3;1300304.313
;;;Suma de Toneladas;44070
;;;Suma de ValorFOB;130829760
;;SOLVENTES ALIFATICOS;Suma de M3;196
;;;Suma de Toneladas;139
;;;Suma de ValorFOB;40223
;;SOLVENTES HEXANO;Suma de M3;507
;;;Suma de Toneladas;342
;;;Suma de ValorFOB;110067
;3;AEROKEROSENE;Suma de M3;2639
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;362398
;;AGUARRAS;Suma de M3;606
;;;Suma de Toneladas;476
;;;Suma de ValorFOB;88849
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;54
;;;Suma de ValorFOB;11424
;;BASES LUBRICANTES;Suma de M3;1419
;;;Suma de Toneladas;323
;;;Suma de ValorFOB;559773
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;42039
;;;Suma de ValorFOB;1769914
;;FUEL OIL, AZUFRE <1%;Suma de M3;28
;;;Suma de Toneladas;26
;;;Suma de ValorFOB;3000
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;46237
;;;Suma de ValorFOB;3844037
;;GAS OIL;Suma de M3;49857
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7047477
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;40268
;;;Suma de ValorFOB;7321956
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;28
;;;Suma de ValorFOB;24213
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;76
;;;Suma de ValorFOB;55507
;;NAFTA COMUN CON PLOMO;Suma de M3;80028
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7224853
;;PETROLEO;Suma de M3;1099535.406
;;;Suma de Toneladas;45000
;;;Suma de ValorFOB;106571353
