"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-03-01,65100
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-04-01,59182
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-05-01,73891
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-06-01,60548
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-07-01,74759
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-08-01,62438
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-09-01,59865
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-10-01,58007
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-11-01,64568
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2000-12-01,67140
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-01-01,74639.2
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-02-01,66235.49
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-03-01,73564
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-04-01,80286.23
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-05-01,79502.6
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-06-01,78135.6
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-07-01,80758.35
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-08-01,75162.16
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-09-01,71454
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-10-01,80085.11
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-11-01,72828
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2001-12-01,66241.02
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-01-01,77223.56
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-02-01,74131.95
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-03-01,75580.71
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-04-01,69584.81
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-05-01,74185.97
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-06-01,67168.87
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-07-01,70517.15
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-08-01,70610
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-09-01,67186.47
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-10-01,85596.02
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-11-01,78099.6
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2002-12-01,77507.03
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-01-01,80773.89
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-02-01,70783.5
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-03-01,77141
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-04-01,65801
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-05-01,71734.5
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-06-01,66353
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-07-01,73339.5
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-08-01,75823.1
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-09-01,83256.5
6,"Hidrocarburos",68,"Gas oil","Venta de combustible","m3","MinEM","Mensual","Nacional","PROVINCIA","02","CAPITAL FEDERAL",2003-10-01,73846
