anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,coef_ci,crudo_mdo_interno,gas_mdo_interno,unidad,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ms_extr,ms_tot,ebe_tot,ebe_extr,fuente
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,0.6093029204475741,183013091.198579,1178039197.521936,Millones de pesos corrientes,7114.269841023127,6422.823284946792,4334.745390987489,3913.444985036762,2779.5244500356375,2509.3782999100304,260.1911368288103,728.6140176641856,2050.910432371452,1780.7642822458447,Criterio CCNN
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,0.5987306741194501,200439921.51992297,1284990885.691379,Millones de pesos corrientes,7219.32251367299,6517.6657307801925,4322.429835297153,3902.3263966752634,2896.892678375837,2615.339334104929,264.0332421937287,739.3730767941059,2157.519601581731,1875.966257310823,Criterio CCNN
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,0.5989304922139586,200439921.51992297,1284990885.691379,Millones de pesos corrientes,7219.32251367299,6517.6657307801925,4323.8723865654765,3903.6287442222306,2895.4501271075133,2614.036986557962,264.0332421937287,739.3730767941059,2156.077050313407,1874.6639097638558,Criterio CCNN
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,0.5352324437899859,201605474.68825597,1293522252.5130115,Millones de pesos corrientes,5388.658885255814,4864.927046101337,2884.185063906091,2603.866791744816,2504.4738213497235,2261.0602543565205,197.08013790150832,551.8840988527086,1952.589722497015,1709.176155503812,Criterio CCNN
1998.0,barriles,309128920.41899997,107523445.730744,12.160952771153296,11.559119299224387,MMBTU,1363647081.0983899,70124828.5853785,1.2631053679542918,1.6716848569600964,1.2190291086172733,1.0,1.834025658588197,0.5353814809761257,201605474.68825597,1293522252.5130115,Millones de pesos corrientes,5388.658885255814,4864.927046101337,2884.9881744634163,2604.5918467825422,2503.670710792398,2260.3351993187944,197.08013790150832,551.8840988527086,1951.7866119396895,1708.4511004660858,Criterio CCNN
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,0.6126955068525004,280944389.51699996,1437905172.1087458,Millones de pesos corrientes,6506.158059624205,5873.814799649056,3986.293810003933,3598.8599358286965,2519.864249620272,2274.9548638203596,237.95058379147653,666.3337305602214,1853.5305190600507,1608.6211332601383,Criterio CCNN
1999.0,barriles,280944389.51699996,0.0,17.00178969667822,16.203629993661696,MMBTU,1437911082.65532,5910.546574,0.9747129438733286,1.2004686792555754,1.2028564683663836,1.0,1.945408423379476,0.612834715894831,280944389.51699996,1437905172.1087458,Millones de pesos corrientes,6506.158059624205,5873.814799649056,3987.1995260366643,3599.677623961783,2518.9585335875404,2274.137175687273,237.95058379147653,666.3337305602214,1852.624803027319,1607.8034451270519,Criterio CCNN
2000.0,barriles,272277680.3868,5608444.835399999,28.146854075911264,27.930764059573495,MMBTU,1595364783.5022802,11411.282034,1.0932602299788075,1.2683158238077425,1.2689565627950896,1.0,1.969548988287749,0.6482183628192075,266669235.5514,1595353372.2202463,Millones de pesos corrientes,9686.996813804488,8745.50306457888,6279.289215279225,5668.995678551683,3407.707598525263,3076.507386027196,354.2838224812647,992.1020463557797,2415.6055521694834,2084.405339671416,Criterio CCNN
2000.0,barriles,272277680.3868,5608444.835399999,28.146854075911264,27.930764059573495,MMBTU,1595364783.5022802,11411.282034,1.0932602299788075,1.2683158238077425,1.2689565627950896,1.0,1.969548988287749,0.6483086970760197,266669235.5514,1595353372.2202463,Millones de pesos corrientes,9686.996813804488,8745.50306457888,6280.164282937141,5669.78569707147,3406.8325308673466,3075.717367507409,354.2838224812647,992.1020463557797,2414.730484511567,2083.6153211516294,Criterio CCNN
2001.0,barriles,280631962.5714,104949187.51679999,22.719092633178587,23.395872600601972,MMBTU,1698918101.81031,218230025.45962197,1.0901093387855751,1.364365125246429,1.3406515580736544,1.0,2.07506215718321,0.5950813729302945,175682775.0546,1480688076.350688,Millones de pesos corrientes,8729.563273798454,7881.1239263178795,5194.800498053861,4689.910046307037,3534.7627757445935,3191.2138800108423,319.2674783196021,894.0456732045028,2640.7171025400908,2297.1682068063396,Criterio CCNN
