anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,unidad,ci_tot,ci_extr,ms_tot,ms_extr,consumo_k_fijo,vbp_tot,va_tot,ebe_tot,vbp_extr,ebe_extr,va_extr,fuente,pv
1972.0,barriles,158461780.6794,0.0,1.6614200769499825,3.6,MMBTU,293554800.0,0.0,0.2554402933013513,1.3731400688620794,0.07332534563016636,8e-11,7.45834959761967e-11,Millones de pesos corrientes,,,3.0139771692505053e-09,1.1921730365951864e-09,,4.813977835409814e-08,,,,,,Criterio propio,
1973.0,barriles,153728574.0936,0.0,3.373716175395084,4.75,MMBTU,314664200.0,0.0,0.2792446275159122,,0.08153011641555255,8.68e-11,1.1375831475781977e-10,Millones de pesos corrientes,,,,,,9.306329000166046e-08,,,,,,Criterio propio,
1974.0,barriles,151095236.1072,220506.44815168,7.361124360075042,15.2000997163332,MMBTU,332773100.0,0.0,0.4045345474827224,4.372788350819689,0.08740066032608595,8.68e-11,1.2647585597322773e-10,Millones de pesos corrientes,,,1.3124955561851657e-08,5.191551643783888e-09,,3.0749832926034356e-07,,,,,,Criterio propio,
1975.0,barriles,144465535.3152,90446.18467876,4.591560939934498,13.9260490033229,MMBTU,362707500.0,0.0,0.6529641236750255,8.021100203987395,0.03710114479905294,2.57e-10,3.74002397389071e-10,Millones de pesos corrientes,,,2.3037573266056858e-08,9.11246905138596e-09,,8.410076376927461e-07,,,,,,Criterio propio,
1976.0,barriles,145592912.7774,0.0,4.771216890839137,13.1,MMBTU,389429600.0,0.0,0.9735899367907366,3.5860429154307654,0.05264088555145835,1.83e-09,2.001721362135581e-09,Millones de pesos corrientes,,,1.7312772652880891e-07,6.848034867695988e-08,,4.576759536930656e-06,,,,,,Criterio propio,
1977.0,barriles,157542721.39319998,0.0,4.779166269197749,14.4,MMBTU,411703900.0,0.0,1.1209601135851275,4.252913691588782,0.28156571482815346,4.05e-09,4.817638854131992e-09,Millones de pesos corrientes,,,4.6549207941303835e-07,1.841245220722259e-07,,1.3152726593090226e-05,,,,,,Criterio propio,
1978.0,barriles,165137944.22399998,0.0,8.025692390855035,14.95,MMBTU,406091200.0,0.0,1.417473633627966,4.148195219968046,0.6634089008599293,7.9e-09,1.2622630391494297e-08,Millones de pesos corrientes,,,1.666614364754777e-06,6.592261973095658e-07,,3.842878829578922e-05,,,,,,Criterio propio,
1979.0,barriles,172553838.567,1.20135371,9.663264332729181,32.4633783334302,MMBTU,452369500.0,0.0,1.5914675429105807,,0.8261173030009026,1.31e-08,2.4626019715424612e-08,Millones de pesos corrientes,,,,,,0.00015567613979830332,,,,,,Criterio propio,
1980.0,barriles,179675709.9192,0.0,12.71900537377977,37.42,MMBTU,475349800.0,0.0,3.01986311610983,,1.0589132499434344,1.83e-08,4.162040187202227e-08,Millones de pesos corrientes,,,,,,0.00033957904395155497,,,,,,Criterio propio,
1981.0,barriles,181475630.5362,0.0,9.280104295844065,35.75,MMBTU,481103700.0,0.0,3.988870696820312,,1.0244255041069572,4.41e-08,8.190042358174585e-08,Millones de pesos corrientes,,,,,,0.0006885216474527212,,,,,,Criterio propio,
1982.0,barriles,179071260.1392,0.0,5.8666412286559195,31.83,MMBTU,547961900.0,0.0,4.513028262923004,,0.47100085514818124,2.16e-07,2.0667427771827035e-07,Millones de pesos corrientes,,,,,,0.0016891087257130412,,,,,,Criterio propio,
1983.0,barriles,179096469.6576,0.0,10.197462558427931,29.08,MMBTU,606489300.0,0.0,4.704625726650992,,0.6649430599030824,1.053e-06,8.931256667281215e-07,Millones de pesos corrientes,,,,,,0.007199870491310957,,,,,,Criterio propio,
1984.0,barriles,175096653.7518,0.0,10.342141244554677,28.75,MMBTU,662369200.0,0.0,4.770926064890199,4.248420622889434,0.7459420757685602,6.77e-06,6.5215349932082375e-06,Millones de pesos corrientes,,,0.002064276570788424,0.0008165207397311215,,0.05343839211526151,,,,,,Criterio propio,
1985.0,barriles,167780798.6778,2557822.1855568,11.195904480269643,26.9560911580689,MMBTU,674688900.0,0.0,4.700009439988131,4.940689928340737,0.7307515573540577,6e-05,5.369904101939766e-05,Millones de pesos corrientes,,,0.019142895942216628,0.007571936714548238,,0.41314746417433856,,,,,,Criterio propio,
1986.0,barriles,158370534.5508,828555.61461192,12.488473401380013,22.6970931924809,MMBTU,679383800.0,0.0,4.2232458834134,3.6848138302843343,0.7549495853778734,9.42e-05,8.955315961391932e-05,Millones de pesos corrientes,,,0.031143042694519833,0.012318572335825607,,0.5788497385865348,,,,,,Criterio propio,
1987.0,barriles,156346426.59239998,523314.55696856,10.316703233807116,19.7651448106409,MMBTU,676630400.0,0.0,3.6980970598806797,2.7097389679202806,0.6203026501601826,0.000214,0.00020847512175890085,Millones de pesos corrientes,,,0.05768413407551588,0.02281685142999034,,1.1658876651512098,,,,,,Criterio propio,
1988.0,barriles,164306432.664,1264149.1603008,13.21345670768546,13.7865882819184,MMBTU,802510200.0,0.0,2.593218588840547,2.2844284773979036,1.020372990449399,0.000871,0.0009757902950238913,Millones de pesos corrientes,,,0.34458590196858635,0.13630030954081088,,4.24108663667001,,,,,,Criterio propio,
1989.0,barriles,168021213.70319998,1987128.1000496,2.339250747575955,17.3858625415934,MMBTU,854507100.0,0.0,2.6269564928632865,2.079506803440119,,0.0394,0.029977468642338887,Millones de pesos corrientes,,,,,,154.8620052089918,,,,,,Criterio propio,
1990.0,barriles,176139785.63279998,6529986.54580544,15.004229452157873,22.4796346776996,MMBTU,812535400.0,0.0,2.8153491709423655,3.4083173362559775,,0.449,0.7399955380923077,Millones de pesos corrientes,,,,,,4622.847510396406,,,,,,Criterio propio,
1991.0,barriles,180017346.69599998,5543827.82874338,16.480434698956476,26.6272432261772,MMBTU,869897900.0,0.0,2.929518857415326,3.464216042514136,,0.95,1.69,Millones de pesos corrientes,,,,,,12407.55408194365,,,,,,Criterio propio,
1992.0,barriles,202821544.93919998,16964341.7535642,,20.5616324563088,MMBTU,884017900.0,0.0,1.9258762727036292,3.665020555443315,,0.99,1.894025275738358,Millones de pesos corrientes,,,,,,11123.32853677232,,,,,,Criterio propio,
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,Millones de pesos corrientes,3378.822777867415,3050.429924411534,557.6768282490975,220.58802719392475,,11566.750723257646,8516.320798846113,8295.732771652189,,,,Criterio propio,
