anio,unidad,fuente,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ebe_tot,ebe_extr,ms_tot,ms_extr,coef_ci,vbp_criterio_ccnn_04,consumo_k_fijo,pv
1999,Millones de pesos corrientes,Empalme CCNN,8403.739969689279,7586.967877816106,5150.103596778565,4649.557303904642,3253.6363729107143,2937.410573911464,2392.9601714806286,2596.9717109192557,860.6762014300859,340.4388629922081,0.612834715894831,0.2421765310338967,1131.5758506710956,1260.6254249644264
2000,Millones de pesos corrientes,Empalme CCNN,12512.300126185919,11296.210910542599,8110.7027028988,7322.411342492393,4401.5974232871185,3973.7995680502063,3120.1395268504375,3466.921291980285,1281.4578964366813,506.8782760699215,0.6482183628192075,0.3605758210920384,2193.24920957829,968.790071240179
2000,Millones de pesos corrientes,Empalme CCNN,12512.300126185919,11296.210910542599,8110.7027028988,7322.411342492393,4401.5974232871185,3973.7995680502063,3120.1395268504375,3466.921291980285,1281.4578964366813,506.8782760699215,0.6482183628192075,0.3605758210920384,2193.24920957829,968.790071240179
2000,Millones de pesos corrientes,Empalme CCNN,12512.300126185919,11296.210910542599,8111.83299223171,7323.43177730979,4400.467133954209,3972.779133232809,3119.009237517528,3465.9008571628874,1281.4578964366813,506.8782760699215,0.6483086970760197,0.3605758210920384,2193.24920957829,967.7696364227816
2000,Millones de pesos corrientes,Empalme CCNN,12512.300126185919,11296.210910542599,8111.83299223171,7323.43177730979,4400.467133954209,3972.779133232809,3119.009237517528,3465.9008571628874,1281.4578964366813,506.8782760699215,0.6483086970760197,0.3605758210920384,2193.24920957829,967.7696364227816
2001,Millones de pesos corrientes,Empalme CCNN,11275.6221305495,10179.727504114397,6709.9126980906085,6057.7662192046755,4565.709432458892,4121.961284909721,3410.906968426776,3665.181328426134,1154.8024640321157,456.77995648358717,0.5950813729302945,0.32493759477025774,2450.76890053721,939.6640349001663
2001,Millones de pesos corrientes,Empalme CCNN,11275.6221305495,10179.727504114397,6709.9126980906085,6057.7662192046755,4565.709432458892,4121.961284909721,3410.906968426776,3665.181328426134,1154.8024640321157,456.77995648358717,0.5950813729302945,0.32493759477025774,2450.76890053721,939.6640349001663
2001,Millones de pesos corrientes,Empalme CCNN,11275.6221305495,10179.727504114397,6710.974419148236,6058.724750000305,4564.647711401264,4121.002754114092,3409.8452473691486,3664.2227976305044,1154.8024640321157,456.77995648358717,0.5951755336821656,0.32493759477025774,2450.76890053721,938.7055041045368
2001,Millones de pesos corrientes,Empalme CCNN,11275.6221305495,10179.727504114397,6710.974419148236,6058.724750000305,4564.647711401264,4121.002754114092,3409.8452473691486,3664.2227976305044,1154.8024640321157,456.77995648358717,0.5951755336821656,0.32493759477025774,2450.76890053721,938.7055041045368
2002,Millones de pesos corrientes,Empalme CCNN,27512.320818842374,24838.35709453135,10495.669564420115,9475.57969768689,17016.651254422257,15362.777396844462,14198.953436510996,14248.242290852853,2817.697817911261,1114.5351059916081,0.38148979264707983,0.7928420489723047,3927.818961227895,9650.04205532806
2002,Millones de pesos corrientes,Empalme CCNN,27512.320818842374,24838.35709453135,10495.669564420115,9475.57969768689,17016.651254422257,15362.777396844462,14198.953436510996,14248.242290852853,2817.697817911261,1114.5351059916081,0.38148979264707983,0.7928420489723047,3927.818961227895,9650.04205532806
2002,Millones de pesos corrientes,Empalme CCNN,27512.320818842374,24838.35709453135,10496.392590292422,9476.232451590247,17015.92822854995,15362.124642941104,14198.23041063869,14247.589536949496,2817.697817911261,1114.5351059916081,0.3815160727227255,0.7928420489723047,3927.818961227895,9649.389301424702
