anio,renta_diferencial_precios_crudo,renta_diferencial_precios_gas,retenciones,regalias_total,renta_expo_sobrevaluada_crudo,renta_expo_sobrevaluada_gas,subsidios,renta_empresas,tcc,tcp,unidad_pbi_gcia,pbi,ganancia,ipc_18,renta_total,proporcion_subsidios,renta_pv,renta_pbi,unidad,renta_usd_tcc,renta_usd_tcp
1989.0,177974.03056911723,,,,-813.3433113024901,0.0,,,0.0394,0.029977468642338887,Millones de pesos corrientes,2049.2697048371906,1388.7452135167593,0.00040023567634823987,177160.68725781474,,0.05105762151099922,0.03460063227381961,Millones de pesos 2018,1799.645367689099,2365.3107049474443
1990.0,173759.6673078132,,,,4421.213723068901,0.0,,,0.449,0.7399955380923077,Millones de pesos corrientes,48806.823190400166,24558.226171179984,0.009661539997048748,178180.8810308821,,0.07009878061997409,0.03527174268387652,Millones de pesos 2018,3834.0795295974426,2326.3676876042327
1991.0,195052.9814373193,,,11663.184115884897,4161.758952670767,0.0,,,0.95,1.69,Millones de pesos corrientes,146517.22068358416,73945.82342824858,0.026247668767528796,210877.92450587495,,0.07485282678858726,0.037777497327549966,Millones de pesos 2018,5826.372539804368,3275.179830067544
1992.0,,,,10650.766350369235,9618.826801388217,0.0,,,0.99,1.894025275738358,Millones de pesos corrientes,201847.867985051,89655.65438867919,0.0327833305762449,20269.59315175745,,0.007411744161269109,0.003292106969340235,Millones de pesos 2018,671.2169423636911,350.8426109472096
1993.0,85653.48958157958,104691.54078764407,,9701.161401495025,12375.287292477944,0.0,,,0.99,1.972021623383232,Millones de pesos corrientes,236504.98062276683,83574.15696121698,0.03626214168808563,212421.4790631966,,0.09216793864827019,0.03256953722961403,Millones de pesos 2018,7780.664415537727,3906.0716576561686
1994.0,56031.610635616315,,,9754.193686527153,20603.88956547712,,,,1.0,1.812286513626661,Millones de pesos corrientes,259328.2545874005,107718.71631340426,0.037776920106575566,86389.6938876206,,0.030296838615575444,0.012584577678265539,Millones de pesos 2018,3263.536564024163,1800.7840037905098
1995.0,60548.2963387462,,,11187.594271026705,30677.78476020878,,,,0.99,1.850027967708323,Millones de pesos corrientes,261831.04121445352,109071.94090160236,0.039052308966680535,102413.67536998168,,0.036668371901164995,0.015275081496872824,Millones de pesos 2018,4039.889386830146,2161.854070733923
1996.0,63172.63717341263,,,15131.121601532348,36423.85647937336,,,,1.0,1.700047480198135,Millones de pesos corrientes,278182.3609446906,129489.54168807207,0.03911310646925639,114727.61525431833,,0.03465417648334598,0.016130977590265803,Millones de pesos 2018,4487.353430406037,2639.545943671556
1997.0,61245.893837799296,,,14841.983809199724,32874.76009878305,,,,1.0,1.685374159314438,Millones de pesos corrientes,301546.23370303004,148172.65427724278,0.03931985818757383,108962.63774578208,,0.02891488638579483,0.014208088130616503,Millones de pesos 2018,4284.395463908131,2542.103449391262
1998.0,45920.04570901123,35775.39251110986,,9333.92597223335,26121.49641723002,1861.5792379345676,,2632.442463775628,1.0,1.834025658588197,Millones de pesos corrientes,310074.15392418584,151208.5450987202,0.03968343691624254,121644.88231129466,,0.03192469718052242,0.015568169588763265,Millones de pesos 2018,4827.28701338401,2632.071689280496
1998.0,45920.04570901123,35775.39251110986,,9333.92597223335,26121.49641723002,1861.5792379345676,,2608.8425893603035,1.0,1.834025658588197,Millones de pesos corrientes,310074.15392418584,151208.5450987202,0.03968343691624254,121621.28243687932,,0.03191850358791176,0.01556514926567042,Millones de pesos 2018,4826.350489256418,2631.5610507715924
1999.0,104016.19215542832,25419.989143665913,,17743.40978856585,0.0,0.13887089642843006,,8069.20045286656,1.0,1.945408423379476,Millones de pesos corrientes,296231.75076924334,139835.6544664368,0.03922045302242034,155248.93041142306,,0.04354349686577025,0.020554627808027706,Millones de pesos 2018,6088.933381982222,3129.8997726167963
1999.0,104016.19215542832,25419.989143665913,,17743.40978856585,0.0,0.13887089642843006,,8042.271275586015,1.0,1.945408423379476,Millones de pesos corrientes,296231.75076924334,139835.6544664368,0.03922045302242034,155222.00123414252,,0.04353594389556037,0.020551062442297256,Millones de pesos 2018,6087.877207449758,3129.3568662945195
2000.0,184386.54183510144,36310.01282076076,,27610.1808960092,3909.1124246217373,0.3113227665752055,,-26296.285748833754,1.0,1.969548988287749,Millones de pesos corrientes,299121.02445911936,145267.55396975827,0.03885231180582565,225919.87355042598,,0.060423054773409014,0.029344341094664408,Millones de pesos 2018,8777.509370313854,4456.60880867182
