anio,unidad,autor,tipo_de_renta,valor,tcc,tcp,ipc_us_20
1971.0,Millones de USD,Propia,regalias_total,,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1971.0,Millones de USD,Propia,renta_empresas,,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1971.0,Millones de USD,Propia,renta_total,1514.0305847654251,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1971.0,Millones de USD,Propia,subsidios,,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1971.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1971.0,Millones de USD,Propia,renta_diferencial_precios,1514.0305847654251,4.59e-11,4.7720273050483874e-11,0.15639340958558323
1972.0,Millones de USD,Propia,retenciones,,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,regalias_total,,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,renta_empresas,,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,renta_total,2104.9115105310702,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,subsidios,,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,8e-11,7.45834959761967e-11,0.16151209054978818
1972.0,Millones de USD,Propia,renta_diferencial_precios,2104.9115105310702,8e-11,7.45834959761967e-11,0.16151209054978818
1973.0,Millones de USD,Propia,retenciones,,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,regalias_total,,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,renta_empresas,,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,renta_total,2346.8810804142013,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,subsidios,,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1973.0,Millones de USD,Propia,renta_diferencial_precios,2346.8810804142004,8.68e-11,1.1375831475781977e-10,0.17162068063004204
1974.0,Millones de USD,Propia,retenciones,,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,regalias_total,,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,renta_empresas,,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,renta_total,8643.874464916926,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,subsidios,,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,renta_sobrevaluacion,5.518874398587126,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1974.0,Millones de USD,Propia,renta_diferencial_precios,8638.35559051834,8.68e-11,1.2647585597322773e-10,0.19051794934694966
1975.0,Millones de USD,Propia,retenciones,,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,regalias_total,,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,renta_empresas,,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,renta_total,8574.978239237791,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,subsidios,,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,renta_sobrevaluacion,1.8950135650104574,2.57e-10,3.74002397389071e-10,0.20793434181006215
1975.0,Millones de USD,Propia,renta_diferencial_precios,8573.083225672779,2.57e-10,3.74002397389071e-10,0.20793434181006215
1976.0,Millones de USD,Propia,retenciones,,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,regalias_total,,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,renta_empresas,,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,renta_total,7422.889575823964,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,subsidios,,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,1.83e-09,2.001721362135581e-09,0.2199423166506185
1976.0,Millones de USD,Propia,renta_diferencial_precios,7422.889575823963,1.83e-09,2.001721362135581e-09,0.2199423166506185
1977.0,Millones de USD,Propia,retenciones,,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,regalias_total,,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,renta_empresas,,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,renta_total,8539.529332744296,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,subsidios,,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,4.05e-09,4.817638854131992e-09,0.2341716058718675
1977.0,Millones de USD,Propia,renta_diferencial_precios,8539.529332744296,4.05e-09,4.817638854131992e-09,0.2341716058718675
1978.0,Millones de USD,Propia,retenciones,,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,regalias_total,,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,renta_empresas,,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,renta_total,8119.169775623333,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,subsidios,,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1978.0,Millones de USD,Propia,renta_diferencial_precios,8119.169775623335,7.9e-09,1.2622630391494297e-08,0.25203869980352633
1979.0,Millones de USD,Propia,retenciones,,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,regalias_total,,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,renta_empresas,,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,renta_total,18672.599309362904,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,subsidios,,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,renta_sobrevaluacion,6.509845025795843e-05,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1979.0,Millones de USD,Propia,renta_diferencial_precios,18672.599244264457,1.31e-08,2.4626019715424612e-08,0.2804006993599073
1980.0,Millones de USD,Propia,retenciones,,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,regalias_total,,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,renta_empresas,,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,renta_total,21783.535020876025,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,subsidios,,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,1.83e-08,4.162040187202227e-08,0.3182596227178007
1980.0,Millones de USD,Propia,renta_diferencial_precios,21783.53502087603,1.83e-08,4.162040187202227e-08,0.3182596227178007
1981.0,Millones de USD,Propia,retenciones,,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,regalias_total,,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,renta_empresas,,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,renta_total,20594.423812399116,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,subsidios,,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,renta_sobrevaluacion,0.0,4.41e-08,8.190042358174585e-08,0.3512896017698403
1981.0,Millones de USD,Propia,renta_diferencial_precios,20594.423812399116,4.41e-08,8.190042358174585e-08,0.3512896017698403
1982.0,Millones de USD,Propia,retenciones,,2.16e-07,2.0667427771827035e-07,0.3729232722600651
