anio,ppye,tg_hidrocarburos,tg_normal,pv,subsidios,ipc_18,renta_con_tg_normal,gcia_normal_hidrocarburos,renta_total,unidad,unidad_pbi_gcia,pbi,ganancia,renta_pv,renta_pbi
2002,30449.907000000017,0.31689388415618797,0.188701126,221926.6659873338,,0.04838182825389189,80680.24100795362,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31689388415618797,0.188701126,221913.1742709825,,0.04838182825389189,80680.24100795362,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2002,30449.907000000017,0.31689388415618797,0.188701126,221913.1742709825,,0.04838182825389189,80680.24100795362,5745.931737495285,,Millones de pesos de 2018,Millones de pesos corrientes,333830.71778017876,169352.32933835263,,
2003,28767.029000000028,0.36044773120471885,0.195745529,287743.6098948127,,0.05488572451056613,86324.6876931523,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36044773120471885,0.195745529,287743.6098948127,,0.05488572451056613,86324.6876931523,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36044773120471885,0.195745529,287726.58726352756,,0.05488572451056613,86324.6876931523,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36044773120471885,0.195745529,287726.58726352756,,0.05488572451056613,86324.6876931523,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36041525306972755,0.195745529,287743.6098948127,,0.05488572451056613,86307.66506186717,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36041525306972755,0.195745529,287743.6098948127,,0.05488572451056613,86307.66506186717,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36041525306972755,0.195745529,287726.58726352756,,0.05488572451056613,86307.66506186717,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2003,28767.029000000028,0.36041525306972755,0.195745529,287726.58726352756,,0.05488572451056613,86307.66506186717,5631.017309363347,,Millones de pesos de 2018,Millones de pesos corrientes,404410.040573429,214940.30578599614,,
2004,30309.24699999997,0.4543627519996144,0.185661556,447730.8089418248,,0.05730932328517764,142108.30719849202,5627.2619592083265,,Millones de pesos de 2018,Millones de pesos corrientes,485115.19472475466,250850.01627215097,,
2004,30309.24699999997,0.4543627519996144,0.185661556,447730.8089418248,,0.05730932328517764,142108.30719849202,5627.2619592083265,,Millones de pesos de 2018,Millones de pesos corrientes,485115.19472475466,250850.01627215097,,
2004,30309.24699999997,0.4543627519996144,0.185661556,447713.1120379308,,0.05730932328517764,142108.30719849202,5627.2619592083265,,Millones de pesos de 2018,Millones de pesos corrientes,485115.19472475466,250850.01627215097,,
2004,30309.24699999997,0.4543627519996144,0.185661556,447713.1120379308,,0.05730932328517764,142108.30719849202,5627.2619592083265,,Millones de pesos de 2018,Millones de pesos corrientes,485115.19472475466,250850.01627215097,,
2005,35366.08800000003,0.4458877088818604,0.181745386,684617.0789967154,0.0,0.06283489501643001,148670.26726346312,6427.623314869974,678189.4556818454,Millones de pesos de 2018,Millones de pesos corrientes,582538.1729372747,299193.89297715307,0.14242925490552255,0.07315222457294153
