anio,fuente,variable,unidad,valor
1929.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1930.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1931.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1932.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1933.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1934.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1935.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1936.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1937.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1938.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1939.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1940.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1941.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1942.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1943.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1944.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1945.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1946.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1947.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1948.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1949.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1950.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1951.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1952.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1953.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1954.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1955.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1956.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1957.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1958.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1959.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1960.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1961.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1962.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1963.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1964.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1965.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1966.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1967.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1968.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1969.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1970.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1971.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,1.6775376735739532e-08
1972.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,2.278372728171155e-08
1973.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1974.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,9.921621542348092e-08
1975.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,1.741492244471156e-07
1976.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,1.3087341690501291e-06
1977.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,3.518820479911206e-06
1978.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,1.2598531786423027e-05
1979.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1980.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1981.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1982.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1983.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1984.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,0.0156046020861418
1985.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,0.14470797090944928
1986.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,0.23542135577990667
1987.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,0.4360549219372684
1988.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,2.604847606568693
1989.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1990.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1991.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1992.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1993.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,4215.6778411553
1993.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,4215.6778411553
1994.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,4535.9094579269595
1994.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,4535.9094579269595
1995.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,5329.544512872083
1995.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,5329.544512872083
